account,description,debit,credit,reference,date
6000,Gross wages expense,1196636.16,0.00,PAYROLL-2026-M08,2026-08-25
6010,Employer PRSI expense,128255.17,0.00,PAYROLL-2026-M08,2026-08-25
6020,Employer pension expense,32971.72,0.00,PAYROLL-2026-M08,2026-08-25
2200,PAYE payable,0.00,224884.42,PAYROLL-2026-M08,2026-08-25
2201,USC payable,0.00,36324.15,PAYROLL-2026-M08,2026-08-25
2202,Employee PRSI payable,0.00,49598.11,PAYROLL-2026-M08,2026-08-25
2203,Employer PRSI payable,0.00,128255.17,PAYROLL-2026-M08,2026-08-25
2204,LPT payable,0.00,5160.00,PAYROLL-2026-M08,2026-08-25
2210,Pension payable,0.00,71751.13,PAYROLL-2026-M08,2026-08-25
2220,Other deductions payable,0.00,240.50,PAYROLL-2026-M08,2026-08-25
2300,Net wages payable,0.00,841649.57,PAYROLL-2026-M08,2026-08-25
